millis,aX,aY,aZ,gX,gY,gZ
61016,-0.080,-0.048,0.898,-8.362,8.423,-4.578
61024,-0.084,-0.053,0.894,-8.240,7.751,-4.395
61033,-0.086,-0.058,0.888,-6.348,6.531,-4.395
61042,-0.081,-0.061,0.884,-3.418,5.066,-4.211
61051,-0.067,-0.065,0.893,-1.465,2.258,-3.906
61059,-0.063,-0.066,0.911,-0.488,0.427,-2.869
61068,-0.058,-0.059,0.928,0.549,-0.977,-2.075
61077,-0.049,-0.053,0.953,2.197,-2.441,-1.648
61086,-0.048,-0.057,0.968,3.967,-1.953,-0.854
61095,-0.042,-0.061,0.989,3.906,-1.038,0.244
61103,-0.040,-0.051,0.998,2.991,-0.366,1.709
61112,-0.040,-0.042,0.994,2.625,0.366,2.625
61121,-0.034,-0.029,0.988,1.526,1.343,2.808
61130,-0.035,-0.024,0.975,1.038,1.465,3.235
61138,-0.024,-0.016,0.964,0.244,1.282,3.296
62533,-0.364,1.193,1.285,35.583,-24.231,-88.745
62542,-0.372,1.226,1.423,33.142,-24.536,-103.516
62550,-0.385,1.189,1.522,29.785,-22.156,-117.737
62559,-0.410,1.153,1.616,26.794,-15.686,-134.644
62568,-0.424,1.080,1.687,22.095,-11.047,-152.222
62577,-0.437,0.976,1.737,11.047,-6.897,-167.236
62585,-0.453,0.831,1.803,-4.211,-0.916,-180.176
62594,-0.494,0.683,1.873,-18.738,4.456,-190.369
62603,-0.559,0.522,1.952,-27.283,9.583,-198.547
62612,-0.624,0.340,2.059,-23.376,14.282,-204.163
62620,-0.696,0.146,2.131,-10.925,18.372,-207.825
62629,-0.765,-0.048,2.206,6.409,22.461,-209.106
62638,-0.837,-0.284,2.284,28.076,27.893,-209.290
62646,-0.917,-0.578,2.376,48.157,35.034,-209.106
62655,-0.999,-0.901,2.483,58.716,43.945,-208.130
62664,-1.057,-1.247,2.665,50.903,54.749,-206.116
62673,-1.096,-1.666,2.934,22.644,66.711,-203.369
62682,-1.144,-2.103,3.156,-16.479,83.191,-194.946
62691,-1.220,-2.520,3.194,-48.767,111.206,-180.176
62699,-1.239,-2.896,3.011,-60.242,147.888,-160.461
62708,-1.216,-3.187,2.660,-51.147,182.251,-135.681
62717,-1.175,-3.266,2.238,-31.250,208.679,-104.065
62726,-1.146,-3.195,1.846,-5.371,224.548,-67.566
62735,-1.079,-3.018,1.516,22.766,231.201,-32.959
62743,-1.005,-2.811,1.242,40.833,230.103,-2.686
62752,-0.929,-2.582,1.008,41.199,226.990,23.987
62761,-0.874,-2.394,0.726,27.344,224.304,47.546
62769,-0.770,-2.174,0.606,7.996,225.830,67.444
62778,-0.782,-1.971,0.249,-7.141,219.849,85.388
62787,-0.751,-1.747,0.016,-18.738,219.849,102.173
62796,-0.749,-1.535,-0.235,-22.522,219.299,113.525
62805,-0.724,-1.361,-0.369,-21.790,210.693,123.230
62813,-0.737,-1.214,-0.512,-21.118,184.448,132.812
62822,-0.742,-1.055,-0.578,-23.010,158.447,142.883
62831,-0.737,-0.898,-0.606,-24.170,143.860,151.733
62840,-0.714,-0.739,-0.654,-22.278,136.414,159.302
62849,-0.663,-0.597,-0.735,-21.790,132.263,165.344
62857,-0.618,-0.477,-0.877,-25.696,126.404,170.532
62866,-0.601,-0.344,-1.027,-29.053,117.126,177.185
62875,-0.587,-0.165,-1.171,-24.353,105.530,184.082
62884,-0.578,0.010,-1.300,-9.338,91.553,190.491
62892,-0.602,0.218,-1.407,9.460,72.083,196.777
62901,-0.616,0.418,-1.445,33.691,46.448,200.989
62910,-0.590,0.618,-1.435,62.622,19.043,201.660
62918,-0.529,0.789,-1.377,89.417,-5.798,198.242
62927,-0.477,0.928,-1.274,100.342,-28.503,192.627
62936,-0.420,1.040,-1.148,92.957,-48.523,183.838
62945,-0.405,1.075,-1.057,82.153,-64.514,173.767
62954,-0.440,1.101,-0.968,76.233,-76.782,164.368
62962,-0.484,1.153,-0.850,77.332,-89.539,156.311
62971,-0.508,1.214,-0.734,82.214,-103.699,147.644
62980,-0.521,1.268,-0.594,82.703,-117.249,137.756
62989,-0.504,1.299,-0.466,79.834,-131.409,127.625
62998,-0.454,1.327,-0.375,78.796,-144.958,117.310
63006,-0.400,1.337,-0.316,78.674,-155.457,106.384
63015,-0.397,1.368,-0.247,77.393,-164.001,96.375
63024,-0.395,1.421,-0.116,78.064,-173.523,86.365
63033,-0.391,1.481,0.050,85.022,-182.678,73.975
63041,-0.399,1.574,0.279,95.886,-190.857,60.608
63050,-0.386,1.690,0.498,107.666,-197.205,44.312
63059,-0.379,1.763,0.688,117.859,-200.012,24.719
63068,-0.405,1.715,0.833,120.972,-200.378,2.258
63077,-0.405,1.524,1.099,115.234,-199.646,-19.836
