aX,aY,aZ,gX,gY,gZ,millis
-0.956,-1.884,1.699,-49.744,-167.236,-221.802,3941.0
-1.134,-2.185,1.963,-51.331,-163.879,-211.731,3950.0
-1.418,-2.384,2.006,-36.621,-158.875,-192.81,3958.0
-1.6,-2.503,1.956,-21.484,-142.273,-158.813,3967.0
-1.68,-2.499,1.859,-13.428,-117.615,-111.084,3976.0
-1.636,-2.418,1.629,-2.93,-95.642,-52.979,3985.0
-1.501,-2.169,1.383,5.31,-82.275,5.249,3993.0
-1.298,-1.862,1.223,2.258,-73.792,56.946,4002.0
-1.129,-1.537,1.1,-3.723,-65.186,98.267,4011.0
-0.939,-1.239,1.028,-7.935,-54.443,127.014,4020.0
-0.82,-0.921,1.001,-12.451,-41.931,146.179,4029.0
-0.775,-0.619,0.982,-19.348,-27.771,162.17,4038.0
-0.75,-0.302,1.047,-27.161,-8.911,181.763,4046.0
-0.603,-0.015,1.04,-28.931,10.742,201.294,4055.0
-0.383,0.285,0.962,-29.358,28.198,218.872,4064.0
-0.228,0.717,0.944,-36.743,35.889,227.783,4073.0
-0.048,1.084,1.009,-40.1,38.574,232.056,4081.0
0.144,1.332,1.027,-31.006,40.405,228.21,4090.0
0.433,1.752,1.054,-10.193,29.297,186.462,4607.0
0.505,1.972,1.138,1.465,19.592,159.058,4616.0
0.591,2.103,1.005,20.325,6.409,137.329,4625.0
0.779,2.294,0.891,37.537,0.183,116.821,4634.0
0.949,2.392,0.868,44.556,2.014,89.844,4642.0
0.966,2.463,0.799,46.448,0.671,53.772,4651.0
0.977,2.448,0.797,48.889,-0.122,19.836,4660.0
0.933,2.397,0.766,51.697,-2.014,-7.019,4669.0
0.897,2.215,0.731,54.871,0.61,-31.86,4678.0
0.841,1.996,0.611,54.626,3.601,-62.073,4686.0
0.732,1.777,0.602,42.358,11.047,-99.792,4695.0
0.646,1.524,0.644,20.325,32.043,-139.648,4704.0
0.555,1.314,0.666,-6.47,57.434,-177.185,4713.0
0.418,1.131,0.675,-30.334,82.642,-209.106,4722.0
0.302,0.833,0.685,-44.983,104.309,-230.957,4730.0
0.231,0.425,0.732,-52.246,113.403,-243.53,4739.0
0.161,0.018,0.84,-55.42,109.985,-250.977,4748.0
0.034,-0.345,0.983,-55.481,95.642,-254.822,4756.0
-0.224,-0.759,1.129,-51.941,72.388,-255.676,4765.0
-0.571,-1.117,1.219,-47.913,50.293,-250.244,4774.0
-0.909,-1.441,1.331,-50.781,35.645,-243.469,4783.0
-1.22,-1.677,1.547,-66.833,29.724,-237.793,4791.0
-1.515,-2.06,1.654,-79.285,33.142,-219.543,4800.0
-1.612,-2.393,1.834,-69.58,40.833,-178.833,4809.0
-1.686,-2.587,1.814,-35.156,36.438,-121.094,4818.0
-1.744,-2.664,1.744,-0.488,27.771,-48.767,4827.0
-1.712,-2.677,1.685,23.437,21.118,20.813,4835.0
-1.431,-2.433,1.628,40.039,20.203,89.6,4844.0
-1.408,-2.235,1.439,46.692,29.114,139.954,4853.0
-1.344,-2.013,1.257,53.223,50.964,176.208,4862.0
-1.161,-1.75,1.014,50.842,71.777,208.984,4871.0
-0.999,-1.39,0.85,36.072,83.618,235.718,4879.0
-0.879,-0.898,0.887,19.592,88.135,256.836,4888.0
-0.757,-0.448,0.94,15.076,86.365,275.146,4897.0
-0.636,-0.058,1.005,27.893,85.938,297.241,4906.0
-0.507,0.331,0.963,47.791,85.815,319.885,4915.0
-0.345,0.84,0.981,62.927,82.52,338.135,4923.0
-0.114,1.372,0.945,75.684,78.918,345.276,4932.0
0.182,1.793,0.907,84.656,71.045,335.449,4941.0
0.362,2.195,0.87,79.407,46.997,306.946,4950.0
0.587,2.526,1.03,68.298,22.705,271.851,4958.0
0.713,2.648,1.053,63.049,8.118,235.535,4967.0
0.931,2.954,0.966,52.246,5.92,202.393,4976.0
1.168,3.176,0.922,40.1,4.089,163.696,4984.0
1.242,3.254,0.918,35.339,-0.183,111.694,4993.0
1.227,3.142,0.883,36.926,1.221,57.678,5002.0
1.185,2.935,0.697,34.302,9.949,9.46,5011.0
1.109,2.692,0.564,21.179,27.71,-38.025,5019.0
0.976,2.388,0.441,2.136,42.236,-85.205,5028.0
0.852,2.022,0.32,-18.188,56.213,-126.831,5037.0
0.759,1.695,0.186,-41.992,70.313,-161.621,5046.0
0.678,1.41,0.084,-65.796,78.796,-192.871,5055.0
0.536,1.075,0.04,-84.595,74.402,-220.093,5063.0
0.42,0.658,0.056,-96.619,63.599,-238.708,5072.0
0.298,0.227,0.161,-107.971,51.025,-248.718,5081.0
0.139,-0.247,0.43,-122.864,37.903,-254.089,5090.0
-0.103,-0.729,0.766,-142.334,26.428,-257.812,5099.0
-0.336,-1.177,1.086,-164.856,24.048,-257.385,5107.0
-0.541,-1.547,1.259,-180.42,29.175,-248.23,5116.0
-0.716,-1.859,1.32,-179.626,28.32,-226.501,5125.0
-0.825,-2.044,1.455,-163.269,11.475,-192.017,5134.0
-0.998,-2.305,1.482,-140.32,-19.714,-148.071,5142.0
-1.023,-2.413,1.776,-115.417,-47.668,-96.008,5151.0
-1.127,-2.428,1.927,-72.571,-64.758,-37.109,5160.0
-1.103,-2.364,2.059,-41.077,-57.617,21.301,5169.0
-1.066,-2.195,2.188,-33.203,-37.292,73.059,5178.0
-1.005,-1.93,2.213,-35.156,-4.7,115.601,5186.0
-0.86,-1.604,2.094,-39.368,36.865,149.841,5195.0
-0.68,-1.209,1.914,-41.443,74.463,178.772,5203.0
-0.456,-0.729,1.745,-39.49,100.098,204.224,5212.0
-0.219,-0.196,1.619,-34.363,114.929,223.938,5221.0
-0.021,0.369,1.503,-23.437,122.131,237.0,5230.0
0.166,0.927,1.36,-5.005,124.634,243.652,5239.0
0.342,1.368,1.248,11.414,131.104,244.812,5247.0
0.511,1.681,1.143,17.822,148.376,239.807,5256.0
0.657,1.944,1.012,9.644,177.368,226.99,5265.0
0.817,2.268,0.792,-9.888,213.623,206.055,5274.0
0.911,2.517,0.51,-24.231,238.22,174.622,5283.0
0.944,2.682,0.096,-24.597,235.229,136.353,5291.0
1.023,2.732,-0.278,-26.672,213.013,98.389,5300.0
1.026,2.625,-0.523,-34.241,180.054,58.167,5309.0
0.982,2.472,-0.696,-44.861,147.034,17.883,5318.0
0.913,2.288,-0.822,-52.673,119.995,-17.395,5326.0
0.812,2.044,-0.931,-55.664,94.666,-46.631,5335.0
0.729,1.755,-0.975,-56.824,71.106,-69.763,5344.0
0.64,1.481,-0.991,-57.983,44.922,-86.121,5353.0
0.585,1.234,-1.022,-55.847,16.907,-97.046,5362.0
0.512,1.006,-1.083,-50.11,-12.085,-105.713,5370.0
0.417,0.787,-1.093,-47.668,-41.199,-112.183,5379.0
0.351,0.562,-0.942,-52.979,-70.435,-115.479,5388.0
0.272,0.296,-0.644,-67.871,-95.947,-119.568,5397.0
0.209,0.037,-0.205,-95.093,-114.014,-125.549,5406.0
0.156,-0.217,0.347,-122.498,-123.047,-131.958,5414.0
0.016,-0.473,0.964,-137.39,-133.301,-137.512,5423.0
-0.158,-0.751,1.591,-135.62,-143.372,-138.55,5431.0
-0.382,-1.005,2.197,-124.268,-146.301,-133.606,5440.0
-0.638,-1.227,2.785,-108.398,-140.503,-121.033,5449.0
-0.791,-1.42,3.304,-85.083,-120.544,-98.816,5458.0
-0.859,-1.713,3.547,-54.26,-83.374,-69.275,5467.0
-0.762,-1.898,3.609,-19.043,-36.499,-33.813,5475.0
-0.752,-1.932,3.28,27.222,7.507,5.615,5484.0
-0.558,-1.815,2.742,63.965,51.575,53.711,5493.0
-0.36,-1.515,2.206,86.853,82.52,101.013,5502.0
-0.129,-1.069,1.68,104.37,100.098,143.494,5511.0
0.076,-0.465,1.237,113.037,105.591,181.824,5519.0
0.28,0.276,0.888,111.877,103.699,212.708,5528.0
0.549,1.049,0.618,106.567,99.487,230.286,5537.0
0.828,1.743,0.333,102.722,95.886,229.797,5546.0
1.026,2.314,0.037,99.365,92.773,211.243,5555.0
1.229,2.734,-0.254,93.262,91.125,183.167,5563.0
1.456,2.993,-0.489,85.693,92.468,150.879,5572.0
1.452,3.104,-0.911,74.219,91.492,114.136,5581.0
1.549,3.201,-1.22,44.25,89.172,78.796,5590.0
1.542,3.133,-1.394,6.348,70.007,42.236,5598.0
1.498,3.047,-1.539,-27.771,44.128,1.892,5607.0
1.308,2.935,-1.566,-56.763,8.423,-40.588,5616.0
1.052,2.672,-1.498,-71.106,-31.189,-81.055,5625.0
0.702,2.267,-1.382,-70.374,-73.242,-116.272,5634.0
0.319,1.661,-1.1,-69.092,-113.037,-142.517,5642.0
-0.763,-0.638,2.408,-158.386,-139.709,-106.689,6168.0
-0.734,-0.884,2.712,-114.319,-143.86,-76.843,6177.0
-0.596,-1.064,2.932,-71.045,-137.146,-46.082,6186.0
-0.442,-1.174,2.932,-26.917,-121.094,-20.203,6195.0
-0.263,-1.338,2.904,9.705,-102.722,-3.54,6204.0
-0.245,-1.445,2.713,41.687,-88.318,5.31,6212.0
-0.147,-1.54,2.505,64.636,-69.153,16.296,6221.0
-0.071,-1.499,2.308,75.867,-48.218,32.532,6230.0
0.017,-1.321,2.147,85.144,-31.006,52.49,6239.0
0.142,-1.025,1.982,99.976,-17.883,78.735,6247.0
0.33,-0.526,1.808,119.873,-7.629,106.873,6256.0
0.541,0.038,1.634,144.653,-5.127,128.357,6265.0
0.733,0.579,1.495,175.11,-7.629,140.32,6274.0
0.936,1.06,1.306,204.773,-7.751,145.569,6282.0
1.057,1.45,1.032,221.558,-4.883,141.235,6291.0
1.099,1.779,0.746,216.003,-0.793,125.488,6300.0
1.106,2.044,0.526,191.895,3.845,103.699,6309.0
1.104,2.253,0.41,162.415,10.315,80.2,6318.0
1.119,2.376,0.316,141.357,15.503,57.617,6326.0
1.068,2.412,0.044,130.981,16.724,35.461,6335.0
1.079,2.485,-0.169,115.356,13.55,15.869,6344.0
1.026,2.439,-0.279,98.389,0.061,-6.592,6353.0
0.893,2.299,-0.412,86.426,-16.296,-33.386,6361.0
0.802,2.134,-0.573,72.083,-29.785,-58.838,6370.0
0.721,1.974,-0.688,46.082,-40.588,-83.801,6379.0
