aX,aY,aZ,gX,gY,gZ,millis
-1.069,-0.996,-0.261,-156.555,-170.349,-344.727,24978
-0.956,-1.23,-0.205,-151.306,-204.895,-317.383,24986
-0.851,-1.414,-0.159,-139.771,-233.704,-285.583,24995
-0.722,-1.534,-0.139,-118.896,-247.925,-253.357,25004
-0.607,-1.574,-0.145,-93.506,-255.859,-218.811,25013
-0.48,-1.543,-0.169,-66.895,-263.428,-181.519,25022
-0.396,-1.475,-0.162,-41.931,-270.02,-145.264,25030
-0.394,-1.358,-0.136,-18.738,-280.151,-113.77,25039
-0.349,-1.243,-0.08,5.066,-290.344,-88.196,25048
-0.26,-1.184,0.064,28.87,-298.706,-69.763,25057
-0.137,-1.221,0.224,50.72,-305.42,-53.04,25066
0.047,-1.339,0.379,69.702,-310.486,-30.579,25074
0.192,-1.372,0.569,82.642,-319.214,0.366,25083
0.238,-1.42,0.782,99.304,-329.163,42.053,25092
0.216,-1.426,0.898,130.127,-327.881,85.754,25101
0.14,-1.417,0.991,167.847,-308.655,122.314,25110
-0.007,-1.373,1.091,200.989,-285.4,158.386,25118
-0.24,-1.354,1.272,224.792,-273.254,197.083,25127
-0.373,-1.401,1.505,240.051,-267.395,235.535,25136
-0.488,-1.362,1.793,243.896,-268.25,273.315,25145
-0.617,-1.339,2.104,240.295,-276.855,315.491,25154
-0.776,-1.353,2.35,238.525,-283.203,357.422,25162
-0.958,-1.329,2.557,238.708,-275.208,393.25,25171
-1.134,-1.36,2.81,240.967,-252.258,424.805,25180
-1.347,-1.387,3.065,243.591,-218.506,448.73,25189
-1.611,-1.323,3.245,236.328,-177.795,451.355,25197
-1.694,-1.241,3.293,211.67,-126.16,431.03,25206
-1.608,-1.125,3.339,170.044,-71.838,402.71,25215
-1.507,-1.079,3.359,117.92,-19.531,382.935,25223
-1.419,-1.004,3.46,64.087,31.25,370.483,25232
-1.296,-0.939,3.451,11.353,84.106,354.858,25241
-1.302,-0.917,3.116,-106.262,191.65,318.909,26118
-1.378,-0.913,2.837,-163.635,230.53,302.002,26127
-1.466,-0.829,2.515,-215.332,258.728,284.912,26135
-1.521,-0.757,2.229,-255.066,280.029,264.648,26144
-1.589,-0.667,1.967,-290.161,295.593,240.417,26153
-1.68,-0.488,1.7,-323.181,302.429,206.604,26162
