millis,aX,aY,aZ,gX,gY,gZ
98483,-0.039,0.110,0.983,-0.488,1.038,1.038
98492,-0.046,0.124,0.981,1.282,1.404,0.977
98501,-0.044,0.117,0.983,0.793,1.892,0.610
98509,-0.045,0.119,0.983,0.610,1.953,-0.122
98518,-0.041,0.117,0.982,0.366,1.770,-0.366
98527,-0.041,0.115,0.982,0.366,1.648,-0.122
98536,-0.039,0.128,0.970,0.183,1.526,0.488
98545,-0.041,0.111,0.988,1.282,0.793,0.671
98553,-0.041,0.120,0.982,1.404,1.404,0.488
98562,-0.034,0.115,0.982,0.488,1.404,0.488
98571,-0.034,0.115,0.982,0.977,1.404,0.732
98580,-0.038,0.116,0.982,1.038,1.526,1.282
98588,-0.039,0.118,0.983,1.160,1.709,1.587
98597,-0.041,0.119,0.981,0.854,1.892,1.770
98606,-0.043,0.119,0.982,0.977,1.831,2.075
98615,-0.043,0.116,0.983,1.160,1.953,2.136
98624,-0.042,0.129,0.969,0.854,2.014,2.563
98632,-0.047,0.107,0.990,1.648,1.343,2.930
98641,-0.048,0.117,0.983,0.732,2.380,2.808
98649,-0.049,0.115,0.984,-0.610,2.380,2.136
98658,-0.045,0.122,0.978,-1.404,2.380,1.343
98667,-0.055,0.116,0.986,-1.953,1.465,0.122
98676,-0.073,0.126,0.979,-2.380,1.282,-1.953
98685,-0.078,0.123,0.980,-3.296,0.305,-6.042
98694,-0.076,0.118,0.982,-2.808,-1.526,-11.719
98702,-0.052,0.125,0.978,-2.991,-2.075,-16.785
98711,-0.025,0.118,0.983,-2.258,-2.197,-18.494
98720,-0.026,0.121,0.982,-1.526,-1.343,-16.113
98729,-0.029,0.130,0.976,-0.793,-0.732,-13.672
98737,-0.019,0.120,0.981,0.977,-0.488,-11.292
98746,-0.025,0.124,0.977,2.319,0.244,-7.385
98755,-0.042,0.120,0.982,5.066,0.610,-3.418
98764,-0.048,0.118,0.984,7.690,1.343,-1.465
98772,-0.048,0.115,0.987,6.958,1.892,-1.099
98781,-0.046,0.116,0.983,5.676,1.892,-1.343
98790,-0.046,0.111,0.986,5.249,2.014,-1.038
98799,-0.041,0.107,0.986,2.869,2.014,-0.244
98808,-0.041,0.112,0.984,0.061,2.136,0.671
98816,-0.037,0.118,0.981,-0.427,2.197,1.587
98825,-0.041,0.118,0.981,0.488,2.380,2.380
98834,-0.044,0.115,0.981,1.892,2.197,3.418
98843,-0.046,0.112,0.983,2.380,2.258,3.662
98851,-0.045,0.114,0.983,2.075,2.258,3.723
99623,-0.222,1.439,0.847,-4.395,1.099,9.094
