aX,aY,aZ,gX,gY,gZ,millis
-0.206,-0.153,-0.774,-18.127,-58.35,3.235,15733.0
-0.203,-0.149,-0.74,-28.076,-71.594,6.165,15742.0
-0.198,-0.082,-0.655,-40.161,-85.999,8.362,15750.0
-0.194,-0.044,-0.54,-47.485,-102.783,9.399,15759.0
-0.193,-0.069,-0.44,-46.082,-118.835,9.705,15768.0
-0.224,-0.138,-0.348,-41.931,-132.446,10.071,15777.0
-0.238,-0.204,-0.245,-42.175,-141.418,11.719,15786.0
-0.234,-0.267,-0.147,-45.227,-146.851,15.259,15794.0
-0.204,-0.307,-0.054,-46.997,-154.114,20.264,15803.0
-0.155,-0.288,0.049,-46.753,-164.856,27.527,15812.0
-0.118,-0.24,0.201,-42.847,-181.763,35.461,15820.0
-0.103,-0.203,0.352,-33.02,-203.796,42.786,15830.0
-0.083,-0.178,0.468,-19.775,-226.44,48.706,15838.0
-0.085,-0.127,0.612,-11.047,-244.812,51.331,15847.0
-0.183,-0.092,0.812,-11.047,-260.681,46.509,15856.0
-0.276,-0.121,1.02,-14.893,-267.395,37.231,15865.0
-0.33,-0.187,1.231,-20.752,-262.756,27.832,15874.0
-0.407,-0.246,1.44,-30.151,-253.479,18.921,15882.0
-0.348,0.146,2.184,-26.55,-237.366,59.326,16759.0
-0.351,0.06,2.275,-10.559,-229.553,62.134,16768.0
-0.339,0.002,2.261,-2.441,-218.628,61.951,16777.0
-0.361,-0.046,2.244,-5.798,-209.717,62.012,16785.0
-0.367,-0.057,2.249,-18.677,-191.956,61.951,16794.0
-0.352,-0.055,2.28,-36.255,-165.771,63.904,16803.0
-0.31,0.002,2.281,-51.575,-135.376,68.909,16812.0
-0.189,0.101,2.262,-60.608,-106.689,78.247,16821.0
-0.046,0.205,2.223,-62.256,-89.05,89.478,16829.0
0.069,0.295,2.214,-59.814,-81.787,98.633,16838.0
0.147,0.415,2.257,-57.129,-79.773,105.042,16847.0
0.224,0.581,2.343,-51.636,-76.538,108.276,16856.0
0.298,0.71,2.475,-42.969,-71.228,105.53,16864.0
0.351,0.761,2.606,-32.41,-62.988,96.313,16873.0
0.369,0.768,2.711,-23.682,-45.959,82.642,16882.0
0.375,0.778,2.758,-17.7,-20.264,67.383,16891.0
0.365,0.78,2.738,-11.719,9.46,51.88,16899.0
0.327,0.735,2.661,-4.15,38.391,36.865,16908.0
0.272,0.66,2.551,3.174,65.186,24.902,16917.0
0.222,0.588,2.445,7.996,89.539,16.663,16925.0
0.173,0.533,2.343,10.071,111.328,11.414,16934.0
0.135,0.47,2.224,10.925,130.432,7.751,16943.0
0.101,0.435,2.131,9.033,147.522,4.517,16952.0
0.067,0.404,2.049,6.287,161.743,0.61,16961.0
0.021,0.358,1.977,4.456,173.767,-4.028,16970.0
-0.015,0.326,1.907,2.38,186.401,-8.484,16978.0
-0.034,0.311,1.838,0.549,198.853,-11.536,16987.0
-0.044,0.302,1.764,-0.244,210.266,-13.489,16996.0
-0.054,0.289,1.673,-0.488,220.154,-15.198,17005.0
-0.063,0.265,1.581,-1.221,228.333,-18.311,17014.0
-0.061,0.242,1.524,-3.845,234.985,-22.583,17022.0
-0.057,0.221,1.477,-7.69,238.586,-26.489,17031.0
-0.064,0.199,1.406,-10.864,240.967,-31.128,17039.0
-0.075,0.191,1.324,-15.076,243.896,-37.415,17048.0
-0.087,0.199,1.244,-17.7,245.361,-44.373,17057.0
-0.089,0.191,1.155,-15.259,244.324,-49.805,17066.0
-0.112,0.175,1.042,-8.301,239.685,-53.894,17075.0
-0.123,0.132,0.92,0.61,232.3,-56.274,17083.0
-0.12,0.095,0.804,9.521,223.999,-56.946,17092.0
-0.113,0.066,0.67,14.893,216.37,-55.969,17101.0
-0.122,0.052,0.519,17.029,208.618,-55.664,17110.0
-0.121,0.033,0.37,16.235,203.186,-55.725,17119.0
-0.113,0.018,0.215,12.451,199.402,-54.504,17127.0
-0.075,0.026,0.102,4.822,194.763,-52.612,17136.0
-0.049,0.062,0.042,-1.343,185.181,-52.368,17145.0
-0.047,0.074,-0.016,1.465,171.448,-54.321,17154.0
-0.06,0.028,-0.091,12.024,156.616,-57.556,17163.0
-0.106,-0.057,-0.186,23.071,140.747,-59.326,17171.0
-0.137,-0.129,-0.271,27.405,128.174,-58.105,17180.0
-0.152,-0.15,-0.333,25.696,119.263,-53.04,17189.0
-0.167,-0.164,-0.418,24.048,109.68,-46.265,17197.0
-0.189,-0.169,-0.539,22.339,100.403,-39.917,17206.0
-0.192,-0.159,-0.653,16.296,89.05,-33.936,17215.0
-0.171,-0.112,-0.713,7.568,72.937,-26.672,17224.0
-0.141,-0.042,-0.714,1.343,53.345,-20.264,17232.0
-0.134,-0.025,-0.685,2.197,31.616,-17.944,17241.0
-0.154,-0.067,-0.652,6.775,10.498,-17.151,17250.0
-0.177,-0.128,-0.639,8.85,-4.639,-14.221,17259.0
-0.195,-0.17,-0.644,6.409,-13.489,-9.949,17268.0
-0.222,-0.201,-0.649,1.404,-19.958,-5.737,17276.0
-0.237,-0.227,-0.654,-3.845,-27.222,-1.343,17285.0
-0.234,-0.247,-0.649,-9.277,-37.964,4.089,17294.0
-0.213,-0.22,-0.602,-17.029,-53.711,10.498,17303.0
-0.185,-0.179,-0.483,-22.827,-73.303,17.578,17312.0
-0.154,-0.165,-0.355,-21.24,-94.971,24.963,17320.0
-0.112,-0.161,-0.235,-15.808,-114.563,32.349,17329.0
-0.085,-0.153,-0.116,-10.925,-131.042,39.673,17338.0
-0.077,-0.133,0.012,-8.179,-145.203,44.434,17347.0
-0.071,-0.141,0.16,-6.775,-157.837,46.326,17355.0
-0.073,-0.191,0.314,-6.958,-169.25,46.631,17364.0
-0.071,-0.224,0.463,-9.155,-176.636,47.791,17373.0
-0.034,-0.21,0.612,-10.986,-181.641,53.101,17382.0
0.02,-0.184,0.717,-9.338,-187.317,62.378,17391.0
0.132,-0.179,0.78,-1.709,-193.909,72.021,17399.0
0.247,-0.142,0.827,6.165,-200.745,80.017,17408.0
0.307,-0.107,0.933,10.742,-209.9,80.933,17417.0
0.321,-0.092,1.136,11.78,-219.604,73.669,17426.0
0.303,-0.128,1.383,8.911,-224.915,61.768,17434.0
0.256,-0.18,1.592,2.686,-220.703,50.049,17443.0
0.189,-0.152,1.743,-8.423,-208.13,43.64,17452.0
0.157,-0.042,1.865,-19.409,-192.261,45.41,17461.0
0.166,0.07,1.913,-22.644,-178.345,51.758,17469.0
0.199,0.168,1.93,-18.677,-171.143,58.594,17478.0
0.235,0.256,1.961,-12.146,-168.945,64.697,17487.0
0.27,0.328,1.975,-4.028,-166.016,68.665,17495.0
0.371,0.352,1.959,3.967,-159.18,68.909,17504.0
0.489,0.344,1.961,9.155,-149.841,65.857,17513.0
0.543,0.336,1.953,10.62,-141.052,59.387,17522.0
0.582,0.295,1.946,9.827,-127.93,50.232,17531.0
0.574,0.243,1.822,6.042,-115.662,39.368,17539.0
0.537,0.195,1.756,-0.366,-104.187,29.419,17548.0
0.47,0.197,1.653,-6.775,-92.896,23.499,17557.0
0.412,0.27,1.671,-11.169,-84.167,21.851,17566.0
0.386,0.342,1.759,-12.207,-83.679,23.376,17575.0
0.35,0.365,1.887,-8.972,-88.013,25.574,17583.0
0.296,0.373,2.053,-5.127,-88.501,26.489,17592.0
0.204,0.359,2.235,-3.54,-80.566,23.926,17601.0
0.113,0.337,2.393,-4.7,-61.584,19.165,17609.0
0.057,0.332,2.498,-9.277,-33.203,15.442,17619.0
0.045,0.331,2.531,-12.817,-1.892,13.855,17627.0
0.064,0.348,2.504,-12.024,27.954,13.062,17636.0
0.088,0.352,2.432,-7.629,52.368,12.024,17645.0
0.102,0.335,2.34,-2.075,71.716,10.925,17654.0
0.117,0.3,2.259,0.977,87.402,9.338,17662.0
0.116,0.269,2.197,-0.244,101.501,7.385,17671.0
0.107,0.251,2.142,-3.174,116.333,4.822,17680.0
0.095,0.237,2.072,-4.15,132.08,3.052,17689.0
0.087,0.244,1.979,-2.808,148.01,2.197,17697.0
0.088,0.248,1.872,-0.793,161.987,1.77,17706.0
0.103,0.249,1.778,0.244,173.157,1.282,17715.0
0.112,0.256,1.699,-0.977,181.58,-0.366,17724.0
0.127,0.265,1.624,-2.502,188.538,-2.625,17733.0
0.143,0.286,1.543,-4.028,195.129,-5.249,17741.0
0.141,0.302,1.465,-6.042,200.134,-9.583,17750.0
0.128,0.294,1.376,-7.812,204.224,-15.686,17759.0
0.116,0.271,1.292,-9.705,207.214,-23.071,17768.0
0.106,0.262,1.227,-11.169,208.191,-29.419,17776.0
0.089,0.254,1.165,-10.315,206.726,-34.973,17785.0
0.073,0.237,1.084,-7.019,203.796,-38.696,17794.0
0.213,0.344,1.901,29.419,-222.9,25.635,20126.0
0.267,0.255,1.823,25.574,-201.233,17.334,20135.0
0.343,0.204,1.825,15.015,-182.007,7.568,20144.0
0.361,0.186,1.928,3.296,-174.744,-1.465,20152.0
0.344,0.133,2.057,-0.671,-172.852,-7.996,20161.0
0.314,0.087,2.148,1.221,-170.288,-11.597,20170.0
0.23,0.055,2.247,3.54,-168.518,-10.925,20179.0
0.172,0.04,2.253,5.005,-157.166,-7.019,20188.0
0.128,0.034,2.236,3.54,-141.479,-1.892,20196.0
0.143,0.037,2.256,0.488,-121.887,2.808,20205.0
0.128,0.073,2.294,-5.371,-105.408,6.653,20214.0
0.079,0.095,2.383,-11.169,-93.872,9.644,20223.0
0.019,0.077,2.512,-16.113,-83.252,9.949,20232.0
-0.036,0.052,2.662,-20.813,-68.054,8.423,20240.0
-0.075,0.046,2.765,-23.682,-44.617,8.484,20249.0
-0.087,0.062,2.793,-22.278,-15.625,11.841,20258.0
-0.089,0.082,2.756,-16.968,14.221,16.785,20266.0
-0.062,0.098,2.673,-10.62,41.87,20.996,20275.0
-0.028,0.119,2.569,-7.019,66.162,23.621,20284.0
-0.006,0.158,2.459,-6.653,87.83,24.658,20293.0
-0.002,0.195,2.357,-8.179,106.995,23.193,20302.0
-0.002,0.192,2.264,-9.399,125.183,19.653,20310.0
-0.025,0.181,2.159,-11.108,143.616,14.221,20319.0
-0.065,0.173,2.05,-13.916,162.415,8.179,20328.0
-0.09,0.171,1.947,-16.418,179.443,3.662,20337.0
-0.109,0.202,1.845,-18.738,193.054,0.854,20345.0
-0.12,0.245,1.781,-19.836,202.148,-1.648,20354.0
-0.117,0.264,1.721,-17.273,207.397,-3.723,20363.0
-0.108,0.257,1.644,-12.878,210.815,-6.226,20372.0
-0.116,0.267,1.574,-10.193,213.989,-10.376,20381.0
-0.129,0.298,1.514,-9.277,215.942,-15.747,20389.0
-0.139,0.31,1.455,-7.629,217.041,-22.278,20398.0
-0.158,0.315,1.383,-3.906,217.346,-29.724,20407.0
-0.171,0.3,1.287,0.488,217.957,-36.621,20415.0
-0.166,0.289,1.178,5.859,219.36,-41.687,20424.0
-0.162,0.255,1.035,11.841,219.238,-45.044,20433.0
-0.162,0.204,0.821,16.846,218.262,-49.133,20442.0
-0.128,0.145,0.646,16.724,217.651,-54.626,20451.0
-0.078,0.128,0.487,10.315,213.44,-59.631,20459.0
-0.056,0.132,0.383,6.042,205.444,-63.477,20468.0
-0.052,0.096,0.228,8.362,196.289,-65.247,20477.0
-0.01,0.067,0.062,10.437,187.256,-64.758,20486.0
0.035,0.057,-0.059,6.897,176.575,-64.148,20495.0
0.049,0.058,-0.152,5.188,164.978,-65.125,20504.0
0.044,0.032,-0.235,8.118,153.809,-66.589,20512.0
0.032,-0.022,-0.317,14.16,144.47,-65.613,20521.0
0.029,-0.057,-0.403,19.043,136.536,-61.462,20529.0
0.052,-0.049,-0.475,20.752,126.404,-54.993,20538.0
0.073,-0.02,-0.535,21.301,111.206,-48.34,20547.0
0.089,0.008,-0.581,21.362,91.98,-44.739,20556.0
0.071,0.017,-0.613,20.63,71.777,-45.227,20565.0
0.052,-0.009,-0.643,18.494,54.138,-47.424,20574.0
0.028,-0.027,-0.628,12.695,38.94,-49.255,20582.0
-0.01,-0.045,-0.588,6.287,25.024,-49.805,20591.0
-0.042,-0.077,-0.578,2.441,15.808,-48.462,20600.0
-0.032,-0.091,-0.532,-0.977,9.399,-44.495,20609.0
-0.035,-0.084,-0.517,-3.357,1.587,-38.513,20617.0
-0.034,-0.09,-0.508,-5.371,-7.751,-33.63,20626.0
-0.026,-0.103,-0.507,-7.996,-16.052,-29.419,20635.0
-0.028,-0.1,-0.511,-12.39,-23.621,-26.428,20644.0
-0.036,-0.104,-0.506,-16.418,-32.043,-24.536,20652.0
-0.051,-0.129,-0.496,-17.334,-41.809,-22.583,20661.0
-0.09,-0.162,-0.478,-17.273,-53.406,-19.104,20670.0
-0.13,-0.19,-0.447,-20.081,-66.04,-13.977,20679.0
-0.153,-0.2,-0.397,-26.367,-80.566,-8.301,20688.0
-0.151,-0.194,-0.303,-33.936,-97.778,-2.991,20696.0
-0.161,-0.18,-0.179,-39.917,-116.455,2.38,20705.0
-0.148,-0.175,-0.05,-40.588,-132.935,9.033,20714.0
-0.154,-0.173,0.064,-36.621,-149.048,15.076,20723.0
-0.175,-0.172,0.163,-31.799,-163.757,20.142,20732.0
-0.164,-0.131,0.264,-27.466,-176.636,24.963,20740.0
-0.158,-0.079,0.393,-24.597,-191.406,27.954,20749.0
-0.175,-0.052,0.554,-22.461,-207.764,27.283,20757.0
-0.159,-0.087,0.725,-19.714,-218.201,25.513,20766.0
-0.135,-0.159,0.874,-19.226,-224.365,24.719,20775.0
-0.152,-0.214,1.052,-24.841,-228.394,23.071,20784.0
-0.205,-0.24,1.21,-33.997,-228.394,21.057,20793.0
-0.264,-0.274,1.375,-39.612,-222.656,19.165,20802.0
-0.328,-0.286,1.506,-39.734,-218.079,18.311,20810.0
-0.386,-0.252,1.636,-38.696,-219.91,22.827,20819.0
-0.403,-0.189,1.766,-37.537,-224.426,34.424,20828.0
-0.359,-0.089,1.88,-35.095,-225.281,49.805,20836.0
-0.204,-0.011,1.976,-30.212,-220.642,64.697,20845.0
-0.085,0.058,2.027,-24.17,-214.966,74.768,20854.0
0.017,0.112,2.044,-21.24,-208.13,76.599,20863.0
0.123,0.13,2.091,-23.926,-195.801,69.946,20872.0
0.123,0.125,2.078,-29.297,-183.472,54.688,20880.0
0.078,0.133,2.079,-33.569,-171.082,38.818,20889.0
0.065,0.167,2.095,-35.583,-155.09,31.738,20898.0
0.094,0.204,2.103,-32.349,-141.296,31.555,20907.0
0.167,0.239,2.095,-25.208,-127.38,34.973,20915.0
0.217,0.279,2.086,-17.029,-115.845,39.063,20924.0
0.223,0.285,2.122,-10.193,-107.178,38.879,20933.0
0.177,0.259,2.196,-5.981,-100.342,32.837,20942.0
0.075,0.22,2.295,-6.348,-91.492,24.78,20951.0
0.002,0.21,2.433,-12.085,-78.064,19.043,20959.0
-0.044,0.213,2.575,-18.555,-60.852,16.479,20968.0
-0.062,0.229,2.699,-21.973,-39.429,17.09,20977.0
-0.065,0.266,2.763,-21.362,-14.465,20.386,20986.0
-0.058,0.323,2.775,-17.212,11.536,24.658,20995.0
-0.042,0.388,2.755,-9.827,35.217,27.344,21003.0
-0.027,0.415,2.711,0.0,53.406,27.283,21012.0
-0.019,0.393,2.632,9.705,70.129,24.841,21020.0
-0.032,0.351,2.523,15.076,88.745,19.958,21029.0
-0.064,0.297,2.404,14.465,109.68,12.817,21038.0
-0.09,0.24,2.293,8.301,131.165,4.761,21047.0
-0.113,0.171,2.211,-0.122,152.283,-1.282,21056.0
-0.123,0.113,2.143,-8.423,171.326,-3.601,21065.0
-0.136,0.099,2.087,-15.442,187.439,-3.357,21073.0
-0.162,0.116,2.039,-19.409,199.768,-0.61,21082.0
-0.192,0.151,1.994,-20.691,208.801,2.93,21091.0
-0.212,0.177,1.941,-20.142,215.82,5.127,21100.0
-0.209,0.188,1.905,-21.118,222.839,5.615,21109.0
-0.198,0.203,1.897,-24.109,229.98,4.456,21117.0
-0.166,0.207,1.887,-27.344,237.305,2.136,21126.0
-0.144,0.227,1.849,-28.748,245.728,-1.77,21135.0
-0.14,0.274,1.792,-29.419,252.38,-6.226,21143.0
-0.137,0.3,1.699,-27.405,257.568,-13.428,21152.0
-0.167,0.294,1.584,-23.926,259.766,-22.827,21161.0
-0.085,0.268,2.677,20.203,-256.47,6.897,22064.0
-0.007,0.318,2.83,34.119,-230.408,13.672,22073.0
0.149,0.243,2.812,52.307,-199.341,15.808,22082.0
0.204,0.114,2.731,60.12,-173.523,7.446,22091.0
0.154,-0.04,2.697,49.683,-160.767,-7.141,22099.0
0.094,-0.2,2.772,27.954,-145.874,-17.761,22108.0
0.055,-0.251,2.878,4.883,-122.864,-15.93,22117.0
0.067,-0.181,2.949,-10.254,-92.163,-3.296,22126.0
0.095,-0.066,2.901,-15.32,-60.303,13.55,22135.0
0.179,0.029,2.738,-14.099,-31.799,29.236,22143.0
0.324,0.138,2.555,-13.55,-7.69,42.297,22152.0
0.446,0.291,2.447,-14.954,7.874,50.781,22161.0
0.519,0.411,2.4,-13.306,17.273,51.88,22169.0
0.561,0.452,2.352,-7.08,27.405,46.265,22178.0
0.552,0.446,2.262,-0.671,40.894,36.072,22187.0
0.508,0.428,2.145,0.671,56.274,23.926,22196.0
0.461,0.392,2.013,-2.625,75.012,12.512,22205.0
0.421,0.342,1.883,-7.08,94.543,3.357,22213.0
0.389,0.291,1.765,-10.254,110.962,-2.197,22222.0
0.375,0.238,1.636,-11.597,122.742,-4.822,22231.0
0.381,0.204,1.521,-12.695,131.104,-5.92,22240.0
0.389,0.172,1.446,-13.916,135.742,-5.554,22249.0
0.388,0.139,1.394,-14.465,136.719,-4.761,22257.0
0.389,0.114,1.35,-14.099,136.23,-3.296,22266.0
0.393,0.101,1.311,-15.259,136.536,-1.099,22274.0
0.408,0.103,1.278,-18.127,138.0,0.732,22283.0
0.421,0.107,1.245,-20.569,139.709,0.488,22292.0
0.44,0.107,1.202,-21.118,140.198,-2.258,22301.0
0.443,0.093,1.176,-22.278,137.878,-6.47,22310.0
0.441,0.053,1.173,-24.841,133.728,-10.803,22318.0
0.447,0.045,1.164,-28.992,130.92,-12.878,22327.0
0.482,0.083,1.167,-34.668,129.639,-12.207,22336.0
0.502,0.116,1.166,-38.025,128.357,-11.841,22345.0
0.515,0.112,1.136,-37.292,128.113,-13.672,22354.0
0.529,0.082,1.093,-36.072,129.639,-16.357,22363.0
0.532,0.042,1.065,-39.001,131.836,-18.372,22371.0
0.524,0.016,1.059,-45.654,136.047,-19.043,22380.0
0.555,0.017,1.057,-51.819,142.395,-17.029,22388.0
0.572,0.038,0.995,-53.467,148.071,-13.367,22397.0
0.603,0.052,0.89,-52.063,152.588,-9.949,22406.0
0.634,0.072,0.775,-52.979,153.198,-8.972,22415.0
